names,importances,experiment_id,CO_MES,var_target
"('02', 21, 3102, 'sm12')",0.01187653864366743,1a2c7356-d044-45c4-b365-7d193727f596,2,kt
"('02', '-7:-43', 'mm')",0.011822638146167557,1a2c7356-d044-45c4-b365-7d193727f596,2,oc
"('09', '-18:-48', 'mm')",0.02004888040380978,8ed89901-ee9a-4c44-93de-5c389b6217f7,3,kt
"('02', '-3:-61', 'mm')",0.0335155404918151,8ed89901-ee9a-4c44-93de-5c389b6217f7,3,oc
"('11', '-24:-48', 'mm')",0.021505376344086023,07973e67-9231-4b46-97d3-fc3c38bbf024,4,kt
"('11', '-10:-40', 'mm')",0.02,07973e67-9231-4b46-97d3-fc3c38bbf024,4,oc
ANO,0.0,ed334c96-7713-487e-8f86-ab42592a5b16,5,kt
"('05', '-6:-36', 'mm')",0.05,ed334c96-7713-487e-8f86-ab42592a5b16,5,oc
"('04', '-28:-52', 'mm')",0.01724773815219101,43ff649f-1994-495a-af89-cb735678f42f,6,kt
"('04', '-8:-40', 'mm')",0.05,43ff649f-1994-495a-af89-cb735678f42f,6,oc
"('02', '-28:-50', 'mm')",0.02,51ec7de0-7e1e-4ee1-8604-2d6ce8f09a7a,7,kt
"('03', '-8:-40', 'mm')",0.06,51ec7de0-7e1e-4ee1-8604-2d6ce8f09a7a,7,oc
"('04', '-25:-53', 'mm')",0.022723017938842804,4375a7e0-12ed-4188-bfd0-365dc6abb5fa,8,kt
"('03', '-3:-61', 'mm')",0.06000000000000001,4375a7e0-12ed-4188-bfd0-365dc6abb5fa,8,oc
"('03', '-28:-50', 'mm')",0.019971696806324685,6be2fce5-a1bb-4a39-9106-9a597aaa866e,9,kt
"('06', '-8:-40', 'mm')",0.03,6be2fce5-a1bb-4a39-9106-9a597aaa866e,9,oc
"('10', 91, 2401, 'sm3')",0.019453407115070154,47df3e90-79bf-4b38-9a09-1a1ed833f215,10,kt
"('07', '-8:-40', 'mm')",0.08,47df3e90-79bf-4b38-9a09-1a1ed833f215,10,oc
"('02', '-2:-60', 'mm')",0.030348956432850918,81aad74b-705b-4754-a335-a9d3a0a09ba9,11,kt
"('02', '-8:-40', 'mm')",0.18,81aad74b-705b-4754-a335-a9d3a0a09ba9,11,oc
"('12', 21, 3105, 'kt')",0.032865995452933616,dc7bb02b-4e35-45c8-8c70-e57452327a2a,12,kt
"('03', '-4:-46', 'mm')",0.04999999999999999,dc7bb02b-4e35-45c8-8c70-e57452327a2a,12,oc
"('07', '-1:-47', 'mm')",0.017844275227990095,108741b1-800f-4376-b896-db7b044192cf,1,kt
"('10', '-10:-50', 'mm')",0.06,108741b1-800f-4376-b896-db7b044192cf,1,oc
