max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
144,1,2,1,0.11129379272460938,1a2c7356-d044-45c4-b365-7d193727f596
1597,8,2,2,0.11809110641479492,8ed89901-ee9a-4c44-93de-5c389b6217f7
144,21,8,1,0.12870407104492188,07973e67-9231-4b46-97d3-fc3c38bbf024
2584,89,3,2,0.13378024101257324,ed334c96-7713-487e-8f86-ab42592a5b16
4181,144,5,5,0.12442827224731445,43ff649f-1994-495a-af89-cb735678f42f
377,377,5,3,0.14929890632629395,51ec7de0-7e1e-4ee1-8604-2d6ce8f09a7a
89,233,5,1,0.16936016082763672,4375a7e0-12ed-4188-bfd0-365dc6abb5fa
233,34,8,1,0.12095141410827637,6be2fce5-a1bb-4a39-9106-9a597aaa866e
1597,987,5,1,0.21867823600769043,47df3e90-79bf-4b38-9a09-1a1ed833f215
377,987,2,2,0.22057485580444336,81aad74b-705b-4754-a335-a9d3a0a09ba9
2584,610,8,2,0.2888932228088379,dc7bb02b-4e35-45c8-8c70-e57452327a2a
1597,233,5,1,0.14991021156311035,108741b1-800f-4376-b896-db7b044192cf
